downtime_id,batch_id,machine_id,production_date,start_ts,end_ts,duration_minutes,reported_duration_minutes,reported_reason_code,reported_reason_label,true_reason_code,true_reason_label,was_logged
D24909d7f809f-1,B24909d7f809f,1,2021-01-02,2021-01-02 06:06:28.969236382,2021-01-02 06:08:07.112099720,1.64,1.64,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D24909d7f809f-2,B24909d7f809f,1,2021-01-02,2021-01-02 06:08:07.112099721,2021-01-02 06:09:39.479506613,1.54,1.54,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D24909d7f809f-3,B24909d7f809f,1,2021-01-02,2021-01-02 06:09:39.479506613,2021-01-02 06:10:58.040164514,1.31,1.31,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D24909d7f809f-4,B24909d7f809f,1,2021-01-02,2021-01-02 06:10:58.040164515,2021-01-02 06:12:16.748030978,1.31,1.31,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D5bfffdd07723-0,B5bfffdd07723,1,2021-01-02,2021-01-02 06:58:49.411764705,2021-01-02 06:59:50.950012537,1.03,1.03,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D5bfffdd07723-1,B5bfffdd07723,1,2021-01-02,2021-01-02 06:59:50.950012537,2021-01-02 07:01:24.286809930,1.56,1.56,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D5bfffdd07723-2,B5bfffdd07723,1,2021-01-02,2021-01-02 07:01:24.286809931,2021-01-02 07:06:56.487342164,5.54,5.0,99,Other,01,Changeover / SMED,True
D5bfffdd07723-3,B5bfffdd07723,1,2021-01-02,2021-01-02 07:06:56.487342164,2021-01-02 07:08:32.287759219,1.6,1.6,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D14d56c555e9f-0,B14d56c555e9f,1,2021-01-02,2021-01-02 07:57:38.823529411,2021-01-02 07:59:04.526786537,1.43,1.43,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D14d56c555e9f-1,B14d56c555e9f,1,2021-01-02,2021-01-02 07:59:04.526786537,2021-01-02 08:08:38.708963193,9.57,10.0,01,Changeover / SMED,01,Changeover / SMED,True
D14d56c555e9f-2,B14d56c555e9f,1,2021-01-02,2021-01-02 08:08:38.708963194,2021-01-02 08:09:41.428567002,1.05,1.05,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D4d097fc2073f-0,B4d097fc2073f,1,2021-01-02,2021-01-02 08:26:55.686274509,2021-01-02 08:37:51.065472646,10.92,10.0,99,Other,01,Changeover / SMED,True
D4d097fc2073f-1,B4d097fc2073f,1,2021-01-02,2021-01-02 08:37:51.065472646,2021-01-02 08:38:50.366523284,0.99,0.99,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D47718f4bb97b-0,B47718f4bb97b,1,2021-01-02,2021-01-02 09:25:53.137701549,2021-01-02 09:36:29.083515962,10.6,10.6,01,Changeover / SMED,01,Changeover / SMED,True
D47718f4bb97b-1,B47718f4bb97b,1,2021-01-02,2021-01-02 09:36:29.083515962,2021-01-02 09:37:12.582854314,0.72,0.72,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D47718f4bb97b-2,B47718f4bb97b,1,2021-01-02,2021-01-02 09:37:12.582854315,2021-01-02 09:38:14.411862037,1.03,1.03,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D47718f4bb97b-3,B47718f4bb97b,1,2021-01-02,2021-01-02 09:38:14.411862038,2021-01-02 09:39:20.248735301,1.1,1.1,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D47718f4bb97b-4,B47718f4bb97b,1,2021-01-02,2021-01-02 09:39:20.248735302,2021-01-02 09:40:57.457979425,1.62,1.62,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D02717d1cb425-0,B02717d1cb425,1,2021-01-02,2021-01-02 10:42:02.733853468,2021-01-02 10:43:20.112122516,1.29,1.29,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D02717d1cb425-1,B02717d1cb425,1,2021-01-02,2021-01-02 10:43:20.112122516,2021-01-02 10:44:38.712023035,1.31,1.31,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D02717d1cb425-2,B02717d1cb425,1,2021-01-02,2021-01-02 10:44:38.712023035,2021-01-02 10:54:34.554313760,9.93,10.0,99,Other,01,Changeover / SMED,True
Da518dc3d9461-0,Ba518dc3d9461,1,2021-01-02,2021-01-02 12:01:31.361304449,2021-01-02 12:01:59.237115613,0.46,0.46,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Da518dc3d9461-1,Ba518dc3d9461,1,2021-01-02,2021-01-02 12:01:59.237115613,2021-01-02 12:09:25.682762855,7.44,5.0,99,Other,01,Changeover / SMED,True
Dd38012390fc2-0,Bd38012390fc2,1,2021-01-02,2021-01-02 13:08:27.047578959,2021-01-02 13:09:26.586861153,0.99,0.99,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Dd38012390fc2-1,Bd38012390fc2,1,2021-01-02,2021-01-02 13:09:26.586861153,2021-01-02 13:14:29.097712345,5.04,5.04,01,Changeover / SMED,01,Changeover / SMED,True
D6a6b590a2ddf-0,B6a6b590a2ddf,1,2021-01-02,2021-01-02 14:15:22.733853468,2021-01-02 14:17:04.216038798,1.69,1.69,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D6a6b590a2ddf-1,B6a6b590a2ddf,1,2021-01-02,2021-01-02 14:17:04.216038798,2021-01-02 14:18:20.124274442,1.27,1.27,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D6a6b590a2ddf-2,B6a6b590a2ddf,1,2021-01-02,2021-01-02 14:18:20.124274442,2021-01-02 14:21:20.124274442,3.0,5.0,01,Changeover / SMED,01,Changeover / SMED,True
D527274e88589-0,B527274e88589,1,2021-01-02,2021-01-02 15:15:30.309762878,2021-01-02 15:27:51.547171774,12.35,10.0,99,Other,01,Changeover / SMED,True
D527274e88589-1,B527274e88589,1,2021-01-02,2021-01-02 15:27:51.547171774,2021-01-02 15:28:58.848034844,1.12,1.12,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Da87a5b286bef-0,Ba87a5b286bef,1,2021-01-02,2021-01-02 15:37:21.730883050,2021-01-02 15:38:40.312358090,1.31,1.31,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Da87a5b286bef-1,Ba87a5b286bef,1,2021-01-02,2021-01-02 15:38:40.312358090,2021-01-02 15:48:21.733458343,9.69,10.0,01,Changeover / SMED,01,Changeover / SMED,True
Da87a5b286bef-2,Ba87a5b286bef,1,2021-01-02,2021-01-02 15:48:21.733458344,2021-01-02 15:50:12.913510595,1.85,1.85,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D9c1b12c7f053-0,B9c1b12c7f053,2,2021-01-02,2021-01-02 02:41:41.966693927,2021-01-02 02:43:44.189104764,2.04,2.04,01,Changeover / SMED,01,Changeover / SMED,False
D95a2f1658bbd-0,B95a2f1658bbd,1,2021-01-02,2021-01-02 15:57:13.931901389,2021-01-02 16:01:48.240937698,4.57,5.0,99,Other,01,Changeover / SMED,True
D95a2f1658bbd-1,B95a2f1658bbd,1,2021-01-02,2021-01-02 16:01:48.240937698,2021-01-02 16:03:10.368174161,1.37,1.37,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D95a2f1658bbd-2,B95a2f1658bbd,1,2021-01-02,2021-01-02 16:03:10.368174162,2021-01-02 16:04:17.464887206,1.12,1.12,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D14038e195f29-0,B14038e195f29,2,2021-01-02,2021-01-02 02:44:05.757765500,2021-01-02 02:46:15.758166735,2.17,2.17,01,Changeover / SMED,01,Changeover / SMED,False
D1e7398ebb7a7-0,B1e7398ebb7a7,1,2021-01-02,2021-01-02 16:17:06.132919727,2021-01-02 16:28:03.376324714,10.95,10.0,01,Changeover / SMED,01,Changeover / SMED,True
D509fdc06db92-0,B509fdc06db92,2,2021-01-02,2021-01-02 02:46:38.699414012,2021-01-02 02:47:58.699414012,1.33,1.33,01,Changeover / SMED,01,Changeover / SMED,False
Dc11e445cc33a-0,Bc11e445cc33a,1,2021-01-04,2021-01-04 03:40:23.529411764,2021-01-04 03:43:23.529411764,3.0,5.0,99,Other,01,Changeover / SMED,True
Dc11e445cc33a-1,Bc11e445cc33a,1,2021-01-04,2021-01-04 03:43:23.529411764,2021-01-04 03:44:09.223588418,0.76,0.76,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Dc11e445cc33a-2,Bc11e445cc33a,1,2021-01-04,2021-01-04 03:44:09.223588418,2021-01-04 03:45:05.340405597,0.94,0.94,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D947bbb12ca98-0,B947bbb12ca98,1,2021-01-04,2021-01-04 04:03:55.294117647,2021-01-04 04:19:55.294117647,16.0,15.0,01,Changeover / SMED,01,Changeover / SMED,True
Dd8db6cb44fa4-0,Bd8db6cb44fa4,2,2021-01-04,2021-01-04 02:02:46.666666666,2021-01-04 02:06:05.000918213,3.31,5.0,99,Other,01,Changeover / SMED,True
D5b678f4f1fe8-0,B5b678f4f1fe8,2,2021-01-04,2021-01-04 02:06:40.001080251,2021-01-04 02:07:30.001080250,0.83,0.83,01,Changeover / SMED,01,Changeover / SMED,False
Dd42c2e0455f5-0,Bd42c2e0455f5,1,2021-01-04,2021-01-04 04:22:44.705882352,2021-01-04 04:33:17.309054965,10.54,10.0,01,Changeover / SMED,01,Changeover / SMED,True
D7d45830cbb76-0,B7d45830cbb76,1,2021-01-04,2021-01-04 04:50:48.241306744,2021-01-04 04:52:04.818182107,1.28,1.28,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D7d45830cbb76-1,B7d45830cbb76,1,2021-01-04,2021-01-04 04:52:04.818182107,2021-01-04 04:53:13.713534065,1.15,1.15,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D7d45830cbb76-2,B7d45830cbb76,1,2021-01-04,2021-01-04 04:53:13.713534065,2021-01-04 04:54:16.948398490,1.05,1.05,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D7d45830cbb76-3,B7d45830cbb76,1,2021-01-04,2021-01-04 04:54:16.948398490,2021-01-04 04:55:21.389077143,1.07,1.07,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D7d45830cbb76-4,B7d45830cbb76,1,2021-01-04,2021-01-04 04:55:21.389077144,2021-01-04 04:58:21.389077144,3.0,5.0,99,Other,01,Changeover / SMED,True
D401b542696b2-0,B401b542696b2,1,2021-01-05,2021-01-05 02:00:00.000000000,2021-01-05 02:01:25.172600367,1.42,1.42,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D401b542696b2-1,B401b542696b2,1,2021-01-05,2021-01-05 02:01:25.172600367,2021-01-05 02:03:12.494957036,1.79,1.79,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D401b542696b2-2,B401b542696b2,1,2021-01-05,2021-01-05 02:03:12.494957037,2021-01-05 02:04:37.664751799,1.42,1.42,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D401b542696b2-3,B401b542696b2,1,2021-01-05,2021-01-05 02:04:37.664751799,2021-01-05 02:06:41.982787584,2.07,2.07,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D16a2e72fb794-0,B16a2e72fb794,1,2021-01-05,2021-01-05 03:17:38.823529411,2021-01-05 03:21:56.030659863,4.29,4.29,99,Other,01,Changeover / SMED,True
D16a2e72fb794-1,B16a2e72fb794,1,2021-01-05,2021-01-05 03:21:56.030659863,2021-01-05 03:23:43.168072667,1.79,1.79,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Dc7ced66dfa44-0,Bc7ced66dfa44,1,2021-01-05,2021-01-05 03:40:23.529411764,2021-01-05 03:40:59.032607282,0.59,0.59,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Dc7ced66dfa44-1,Bc7ced66dfa44,1,2021-01-05,2021-01-05 03:40:59.032607282,2021-01-05 03:41:50.898398960,0.86,0.86,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Dc7ced66dfa44-2,Bc7ced66dfa44,1,2021-01-05,2021-01-05 03:41:50.898398960,2021-01-05 03:56:53.593222946,15.04,15.0,01,Changeover / SMED,01,Changeover / SMED,True
D8c2003cd31a4-0,B8c2003cd31a4,1,2021-01-05,2021-01-05 04:00:47.058823529,2021-01-05 04:15:41.286595061,14.9,15.0,01,Changeover / SMED,01,Changeover / SMED,True
D8c2003cd31a4-1,B8c2003cd31a4,1,2021-01-05,2021-01-05 04:15:41.286595061,2021-01-05 04:17:17.699505759,1.61,1.61,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D0c7a4111bd1b-0,B0c7a4111bd1b,1,2021-01-05,2021-01-05 04:30:15.784537049,2021-01-05 04:38:40.377653791,8.41,10.0,99,Other,01,Changeover / SMED,True
D5784fc528511-0,B5784fc528511,2,2021-01-05,2021-01-05 02:01:57.647058823,2021-01-05 02:03:38.758482006,1.69,1.69,01,Changeover / SMED,01,Changeover / SMED,False
D3cfcd1d72e4c-0,B3cfcd1d72e4c,1,2021-01-05,2021-01-05 05:02:19.825022067,2021-01-05 05:04:19.952652912,2.0,2.0,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D3cfcd1d72e4c-1,B3cfcd1d72e4c,1,2021-01-05,2021-01-05 05:04:19.952652912,2021-01-05 05:16:41.989468965,12.37,10.0,99,Other,01,Changeover / SMED,True
D3cfcd1d72e4c-2,B3cfcd1d72e4c,1,2021-01-05,2021-01-05 05:16:41.989468966,2021-01-05 05:17:40.258486037,0.97,0.97,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D023a3758585b-0,B023a3758585b,1,2021-01-05,2021-01-05 05:31:36.687767166,2021-01-05 05:31:54.687767166,0.3,0.3,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D023a3758585b-1,B023a3758585b,1,2021-01-05,2021-01-05 05:31:54.687767166,2021-01-05 05:42:40.200552610,10.76,10.76,99,Other,01,Changeover / SMED,True
D60b16f374426-0,B60b16f374426,2,2021-01-05,2021-01-05 02:03:56.601674333,2021-01-05 02:05:09.935120835,1.22,1.22,01,Changeover / SMED,01,Changeover / SMED,False
Da268063adb1d-0,Ba268063adb1d,2,2021-01-05,2021-01-05 02:05:22.876317277,2021-01-05 02:06:32.876641352,1.17,1.17,01,Changeover / SMED,01,Changeover / SMED,False
D70a04c223991-0,B70a04c223991,1,2021-01-07,2021-01-07 02:00:00.000000000,2021-01-07 02:01:52.607576687,1.88,1.88,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D70a04c223991-1,B70a04c223991,1,2021-01-07,2021-01-07 02:01:52.607576687,2021-01-07 02:02:41.523921682,0.82,0.82,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D70a04c223991-2,B70a04c223991,1,2021-01-07,2021-01-07 02:02:41.523921682,2021-01-07 02:03:56.287721435,1.25,1.25,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D8b8aacc84a2d-0,B8b8aacc84a2d,1,2021-01-07,2021-01-07 03:25:29.411764705,2021-01-07 03:26:10.195446530,0.68,0.68,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D8b8aacc84a2d-1,B8b8aacc84a2d,1,2021-01-07,2021-01-07 03:26:10.195446530,2021-01-07 03:38:23.055851180,12.21,10.0,99,Other,01,Changeover / SMED,True
D726ea0366340-0,B726ea0366340,1,2021-01-07,2021-01-07 03:47:27.058823529,2021-01-07 03:48:49.916479146,1.38,1.38,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D726ea0366340-1,B726ea0366340,1,2021-01-07,2021-01-07 03:48:49.916479146,2021-01-07 03:55:12.888492740,6.38,5.0,01,Changeover / SMED,01,Changeover / SMED,True
D56f6b0135d44-0,B56f6b0135d44,1,2021-01-07,2021-01-07 04:03:55.294117647,2021-01-07 04:17:22.796304345,13.46,15.0,99,Other,01,Changeover / SMED,True
D6978047ce468-0,B6978047ce468,1,2021-01-07,2021-01-07 04:21:29.411764705,2021-01-07 04:31:20.519227004,9.85,10.0,99,Other,01,Changeover / SMED,True
Dd923659d9678-0,Bd923659d9678,2,2021-01-07,2021-01-07 02:02:27.058823529,2021-01-07 02:05:22.059633717,2.92,2.92,01,Changeover / SMED,01,Changeover / SMED,False
D99e69631ac72-0,B99e69631ac72,1,2021-01-07,2021-01-07 04:33:04.832308587,2021-01-07 04:37:30.767134312,4.43,4.43,01,Changeover / SMED,01,Changeover / SMED,True
D7f014b1130eb-0,B7f014b1130eb,1,2021-01-07,2021-01-07 04:49:22.652337848,2021-01-07 04:57:41.754518368,8.32,10.0,01,Changeover / SMED,01,Changeover / SMED,True
D9e65794f29cc-0,B9e65794f29cc,1,2021-01-07,2021-01-07 05:09:14.853356186,2021-01-07 05:20:03.805095220,10.82,10.82,01,Changeover / SMED,01,Changeover / SMED,True
D4e51337ae8fb-0,B4e51337ae8fb,1,2021-01-07,2021-01-07 05:38:31.716101284,2021-01-07 05:51:06.560496957,12.58,12.58,01,Changeover / SMED,01,Changeover / SMED,True
D4f136b56ea58-0,B4f136b56ea58,1,2021-01-07,2021-01-07 06:03:37.598454225,2021-01-07 06:14:29.217704505,10.86,10.0,99,Other,01,Changeover / SMED,True
D1b98831683d9-0,B1b98831683d9,3,2021-01-07,2021-01-07 02:00:00.000000000,2021-01-07 02:00:45.369130328,0.76,0.76,06,Micro-stop (never logged),06,Micro-stop (never logged),False
De1091af57999-0,Be1091af57999,2,2021-01-08,2021-01-08 02:06:32.156862745,2021-01-08 02:11:12.158159047,4.67,5.0,01,Changeover / SMED,01,Changeover / SMED,True
D37c6508e8638-0,B37c6508e8638,1,2021-01-08,2021-01-08 03:01:10.588235294,2021-01-08 03:09:09.777618746,7.99,7.99,99,Other,01,Changeover / SMED,True
D72b9c5d9adfd-0,B72b9c5d9adfd,1,2021-01-08,2021-01-08 03:16:51.764705882,2021-01-08 03:27:02.905026076,10.19,10.0,01,Changeover / SMED,01,Changeover / SMED,True
D96cb7f9ddeac-0,B96cb7f9ddeac,2,2021-01-08,2021-01-08 02:12:01.570152512,2021-01-08 02:12:59.903485845,0.97,0.97,01,Changeover / SMED,01,Changeover / SMED,False
Df6a113b79177-0,Bf6a113b79177,1,2021-01-08,2021-01-08 03:30:11.764705882,2021-01-08 03:42:09.223747234,11.96,10.0,99,Other,01,Changeover / SMED,True
Df6a113b79177-1,Bf6a113b79177,1,2021-01-08,2021-01-08 03:42:09.223747234,2021-01-08 03:43:26.862954858,1.29,1.29,06,Micro-stop (never logged),06,Micro-stop (never logged),False
Ddf20446d7fe9-0,Bdf20446d7fe9,1,2021-01-08,2021-01-08 03:54:02.405927888,2021-01-08 03:57:13.248531426,3.18,3.18,01,Changeover / SMED,01,Changeover / SMED,True
D64399fb2ef89-0,B64399fb2ef89,1,2021-01-08,2021-01-08 04:18:09.545148041,2021-01-08 04:22:52.233222898,4.71,5.0,99,Other,01,Changeover / SMED,True
D64399fb2ef89-1,B64399fb2ef89,1,2021-01-08,2021-01-08 04:22:52.233222898,2021-01-08 04:23:39.109320775,0.78,0.78,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D70501f8487fd-0,B70501f8487fd,1,2021-01-08,2021-01-08 04:55:48.368677452,2021-01-08 05:03:06.629376871,7.3,5.0,01,Changeover / SMED,01,Changeover / SMED,True
D4300fb8cf16e-0,B4300fb8cf16e,2,2021-01-08,2021-01-08 02:13:10.197603492,2021-01-08 02:14:47.975532161,1.63,1.63,01,Changeover / SMED,01,Changeover / SMED,False
D4f14ed7d3c30-0,B4f14ed7d3c30,2,2021-01-08,2021-01-08 02:15:05.230460751,2021-01-08 02:16:30.786148336,1.43,1.43,01,Changeover / SMED,01,Changeover / SMED,False
D5aeebde27db9-0,B5aeebde27db9,3,2021-01-08,2021-01-08 02:00:00.000000000,2021-01-08 02:01:19.249335650,1.32,1.32,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D5aeebde27db9-1,B5aeebde27db9,3,2021-01-08,2021-01-08 02:01:19.249335650,2021-01-08 02:02:52.663939744,1.56,1.56,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D95e5571ab18c-0,B95e5571ab18c,1,2021-01-08,2021-01-08 05:13:41.349593957,2021-01-08 05:14:37.346023542,0.93,0.93,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D95e5571ab18c-1,B95e5571ab18c,1,2021-01-08,2021-01-08 05:14:37.346023542,2021-01-08 05:23:45.051865295,9.13,10.0,01,Changeover / SMED,01,Changeover / SMED,True
Da2f6f6a82c6f-0,Ba2f6f6a82c6f,1,2021-01-08,2021-01-08 05:37:44.379957721,2021-01-08 05:45:07.115334013,7.38,5.0,99,Other,01,Changeover / SMED,True
D07d73d2e59c4-0,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:00:00.000000000,2021-01-09 02:02:07.434750388,2.12,2.12,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-1,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:02:07.434750388,2021-01-09 02:02:46.322529454,0.65,0.65,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-2,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:02:46.322529455,2021-01-09 02:04:07.904537368,1.36,1.36,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-3,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:04:07.904537368,2021-01-09 02:05:37.522312372,1.49,1.49,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-4,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:05:37.522312373,2021-01-09 02:06:54.844195812,1.29,1.29,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-5,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:06:54.844195812,2021-01-09 02:08:56.880824145,2.03,2.03,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-6,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:08:56.880824145,2021-01-09 02:09:57.166905661,1.0,1.0,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-7,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:09:57.166905661,2021-01-09 02:10:43.095488225,0.77,0.77,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D07d73d2e59c4-8,B07d73d2e59c4,1,2021-01-09,2021-01-09 02:10:43.095488225,2021-01-09 02:11:49.870306210,1.11,1.11,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D810c83a30796-0,B810c83a30796,2,2021-01-09,2021-01-09 02:13:14.117647058,2021-01-09 02:25:22.480215843,12.14,12.14,99,Other,01,Changeover / SMED,True
D34cef4184de2-0,B34cef4184de2,1,2021-01-09,2021-01-09 05:35:41.176470588,2021-01-09 05:37:30.728220844,1.83,1.83,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D34cef4184de2-1,B34cef4184de2,1,2021-01-09,2021-01-09 05:37:30.728220844,2021-01-09 05:38:27.088533284,0.94,0.94,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D34cef4184de2-2,B34cef4184de2,1,2021-01-09,2021-01-09 05:38:27.088533285,2021-01-09 05:49:07.933796978,10.68,10.0,99,Other,01,Changeover / SMED,True
D29b5f9d506c6-0,B29b5f9d506c6,1,2021-01-09,2021-01-09 06:26:39.999999999,2021-01-09 06:36:55.378533727,10.26,10.0,99,Other,01,Changeover / SMED,True
Dc08d3ac50185-0,Bc08d3ac50185,1,2021-01-09,2021-01-09 07:14:30.588235294,2021-01-09 07:22:42.323118209,8.2,10.0,99,Other,01,Changeover / SMED,True
De2cb012bca1c-0,Be2cb012bca1c,1,2021-01-09,2021-01-09 07:36:15.686274509,2021-01-09 07:44:22.517606733,8.11,10.0,99,Other,01,Changeover / SMED,True
Dfedbdeb7b1fa-0,Bfedbdeb7b1fa,1,2021-01-09,2021-01-09 07:48:05.200665404,2021-01-09 07:51:05.200665404,3.0,5.0,01,Changeover / SMED,01,Changeover / SMED,True
Dfedbdeb7b1fa-1,Bfedbdeb7b1fa,1,2021-01-09,2021-01-09 07:51:05.200665404,2021-01-09 07:52:14.315297296,1.15,1.15,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D3dc0213628eb-0,B3dc0213628eb,1,2021-01-09,2021-01-09 07:59:04.020128029,2021-01-09 08:00:32.482292594,1.47,1.47,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D3dc0213628eb-1,B3dc0213628eb,1,2021-01-09,2021-01-09 08:00:32.482292594,2021-01-09 08:01:38.852162866,1.11,1.11,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D3dc0213628eb-2,B3dc0213628eb,1,2021-01-09,2021-01-09 08:01:38.852162867,2021-01-09 08:13:43.008300577,12.07,10.0,99,Other,01,Changeover / SMED,True
D744373eea0e2-0,B744373eea0e2,1,2021-01-09,2021-01-09 09:07:12.606158693,2021-01-09 09:20:13.025054129,13.01,15.0,01,Changeover / SMED,01,Changeover / SMED,True
D744373eea0e2-1,B744373eea0e2,1,2021-01-09,2021-01-09 09:20:13.025054129,2021-01-09 09:22:18.952889802,2.1,2.1,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D744373eea0e2-2,B744373eea0e2,1,2021-01-09,2021-01-09 09:22:18.952889802,2021-01-09 09:23:58.878036592,1.67,1.67,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D0f94af5eae4c-0,B0f94af5eae4c,1,2021-01-09,2021-01-09 10:11:20.687128730,2021-01-09 10:27:29.127545227,16.14,15.0,99,Other,01,Changeover / SMED,True
