batch_id,production_date,product_id,machine_id,planned_units,loads_used,scheduled_start_ts,scheduled_end_ts,planned_production_minutes,actual_start_ts,actual_end_ts,run_time_minutes,good_units,scrap_units
Bd8db6cb44fa4,2021-01-04,3,2,34,0.1574,2021-01-04 02:02:46.666666666,2021-01-04 02:06:40.001080251,3.89,2021-01-04 02:02:46.666666666,2021-01-04 02:06:40.001080251,0.58,5,0
B5b678f4f1fe8,2021-01-04,11,2,24,0.0556,2021-01-04 02:06:40.001080251,2021-01-04 02:07:38.824609662,0.98,2021-01-04 02:06:40.001080251,2021-01-04 02:07:38.824609662,0.15,4,0
Bd42c2e0455f5,2021-01-04,7,1,14,0.5185,2021-01-04 04:22:44.705882352,2021-01-04 04:50:48.241306743,28.06,2021-01-04 04:22:44.705882352,2021-01-04 04:50:48.241306743,17.52,9,0
B7d45830cbb76,2021-01-04,10,1,12,0.4444,2021-01-04 04:50:48.241306744,2021-01-04 05:15:54.123659685,25.1,2021-01-04 04:50:48.241306744,2021-01-04 05:15:54.123659685,17.55,9,0
Bb3e11ea72047,2021-01-04,20,3,8,0.0,2021-01-04 02:00:00.000000000,2021-01-04 02:09:24.705882352,9.41,2021-01-04 02:00:00.000000000,2021-01-04 02:09:24.705882352,9.41,7,0
B401b542696b2,2021-01-05,1,1,198,2.2,2021-01-05 02:00:00.000000000,2021-01-05 03:17:38.823529411,77.65,2021-01-05 02:00:00.000000000,2021-01-05 03:17:38.823529411,70.95,189,7
B16a2e72fb794,2021-01-05,5,1,58,0.6444,2021-01-05 03:17:38.823529411,2021-01-05 03:40:23.529411763,22.75,2021-01-05 03:17:38.823529411,2021-01-05 03:40:23.529411763,16.67,41,4
Bc7ced66dfa44,2021-01-05,4,1,52,0.5778,2021-01-05 03:40:23.529411764,2021-01-05 04:00:47.058823528,20.39,2021-01-05 03:40:23.529411764,2021-01-05 04:00:47.058823528,3.89,9,1
B297d9146585c,2021-01-05,2,2,24,0.0833,2021-01-05 02:00:00.000000000,2021-01-05 02:01:57.647058823,1.96,2021-01-05 02:00:00.000000000,2021-01-05 02:01:57.647058823,1.96,20,1
B8c2003cd31a4,2021-01-05,9,1,22,0.6111,2021-01-05 04:00:47.058823529,2021-01-05 04:30:15.784537049,29.48,2021-01-05 04:00:47.058823529,2021-01-05 04:30:15.784537049,12.97,9,1
B0c7a4111bd1b,2021-01-05,7,1,16,0.5926,2021-01-05 04:30:15.784537049,2021-01-05 05:02:19.825022067,32.07,2021-01-05 04:30:15.784537049,2021-01-05 05:02:19.825022067,23.66,12,0
B5784fc528511,2021-01-05,23,2,14,0.0648,2021-01-05 02:01:57.647058823,2021-01-05 02:03:56.601674332,1.98,2021-01-05 02:01:57.647058823,2021-01-05 02:03:56.601674332,0.3,2,0
B3cfcd1d72e4c,2021-01-05,16,1,14,0.5185,2021-01-05 05:02:19.825022067,2021-01-05 05:31:36.687767165,29.28,2021-01-05 05:02:19.825022067,2021-01-05 05:31:36.687767165,13.94,6,0
B023a3758585b,2021-01-05,14,1,12,0.4444,2021-01-05 05:31:36.687767166,2021-01-05 05:56:42.570120107,25.1,2021-01-05 05:31:36.687767166,2021-01-05 05:56:42.570120107,14.04,6,0
B60b16f374426,2021-01-05,21,2,12,0.0556,2021-01-05 02:03:56.601674333,2021-01-05 02:05:22.876317276,1.44,2021-01-05 02:03:56.601674333,2021-01-05 02:05:22.876317276,0.22,1,0
Ba268063adb1d,2021-01-05,3,2,12,0.0556,2021-01-05 02:05:22.876317277,2021-01-05 02:06:45.229639718,1.37,2021-01-05 02:05:22.876317277,2021-01-05 02:06:45.229639718,0.21,1,0
Be23f7e4a2202,2021-01-05,20,3,10,0.0,2021-01-05 02:00:00.000000000,2021-01-05 02:11:45.882352941,11.76,2021-01-05 02:00:00.000000000,2021-01-05 02:11:45.882352941,11.76,8,0
B70a04c223991,2021-01-07,1,1,218,2.4222,2021-01-07 02:00:00.000000000,2021-01-07 03:25:29.411764705,85.49,2021-01-07 02:00:00.000000000,2021-01-07 03:25:29.411764705,81.55,199,6
B8b8aacc84a2d,2021-01-07,5,1,56,0.6222,2021-01-07 03:25:29.411764705,2021-01-07 03:47:27.058823528,21.96,2021-01-07 03:25:29.411764705,2021-01-07 03:47:27.058823528,9.07,23,1
B726ea0366340,2021-01-07,4,1,42,0.4667,2021-01-07 03:47:27.058823529,2021-01-07 04:03:55.294117646,16.47,2021-01-07 03:47:27.058823529,2021-01-07 04:03:55.294117646,8.71,23,1
B56f6b0135d44,2021-01-07,6,1,42,0.4667,2021-01-07 04:03:55.294117647,2021-01-07 04:21:29.411764705,17.57,2021-01-07 04:03:55.294117647,2021-01-07 04:21:29.411764705,4.11,9,1
B6978047ce468,2021-01-07,17,1,38,0.3519,2021-01-07 04:21:29.411764705,2021-01-07 04:33:04.832308586,11.59,2021-01-07 04:21:29.411764705,2021-01-07 04:33:04.832308586,1.74,5,0
B0a77c51fccb6,2021-01-07,2,2,30,0.1042,2021-01-07 02:00:00.000000000,2021-01-07 02:02:27.058823529,2.45,2021-01-07 02:00:00.000000000,2021-01-07 02:02:27.058823529,2.45,28,2
Bd923659d9678,2021-01-07,3,2,30,0.1389,2021-01-07 02:02:27.058823529,2021-01-07 02:05:52.942129633,3.43,2021-01-07 02:02:27.058823529,2021-01-07 02:05:52.942129633,0.51,4,0
B99e69631ac72,2021-01-07,18,1,22,0.4074,2021-01-07 04:33:04.832308587,2021-01-07 04:49:22.652337847,16.3,2021-01-07 04:33:04.832308587,2021-01-07 04:49:22.652337847,11.86,15,1
B7f014b1130eb,2021-01-07,22,1,20,0.4444,2021-01-07 04:49:22.652337848,2021-01-07 05:09:14.853356186,19.87,2021-01-07 04:49:22.652337848,2021-01-07 05:09:14.853356186,11.55,10,1
B9e65794f29cc,2021-01-07,16,1,14,0.5185,2021-01-07 05:09:14.853356186,2021-01-07 05:38:31.716101284,29.28,2021-01-07 05:09:14.853356186,2021-01-07 05:38:31.716101284,18.47,8,0
B4e51337ae8fb,2021-01-07,10,1,12,0.4444,2021-01-07 05:38:31.716101284,2021-01-07 06:03:37.598454225,25.1,2021-01-07 05:38:31.716101284,2021-01-07 06:03:37.598454225,12.52,5,0
B4f136b56ea58,2021-01-07,7,1,12,0.4444,2021-01-07 06:03:37.598454225,2021-01-07 06:27:40.628817988,24.05,2021-01-07 06:03:37.598454225,2021-01-07 06:27:40.628817988,13.19,6,0
B1b98831683d9,2021-01-07,20,3,4,0.0,2021-01-07 02:00:00.000000000,2021-01-07 02:04:42.352941176,4.71,2021-01-07 02:00:00.000000000,2021-01-07 02:04:42.352941176,3.95,3,0
Bcc0292b5cc1d,2021-01-08,1,1,156,1.7333,2021-01-08 02:00:00.000000000,2021-01-08 03:01:10.588235294,61.18,2021-01-08 02:00:00.000000000,2021-01-08 03:01:10.588235294,61.18,155,7
Bc4b2173beceb,2021-01-08,2,2,80,0.2778,2021-01-08 02:00:00.000000000,2021-01-08 02:06:32.156862745,6.54,2021-01-08 02:00:00.000000000,2021-01-08 02:06:32.156862745,6.54,76,4
Be1091af57999,2021-01-08,3,2,48,0.2222,2021-01-08 02:06:32.156862745,2021-01-08 02:12:01.570152512,5.49,2021-01-08 02:06:32.156862745,2021-01-08 02:12:01.570152512,0.82,7,0
B37c6508e8638,2021-01-08,4,1,40,0.4444,2021-01-08 03:01:10.588235294,2021-01-08 03:16:51.764705882,15.69,2021-01-08 03:01:10.588235294,2021-01-08 03:16:51.764705882,7.7,18,1
B72b9c5d9adfd,2021-01-08,5,1,34,0.3778,2021-01-08 03:16:51.764705882,2021-01-08 03:30:11.764705881,13.33,2021-01-08 03:16:51.764705882,2021-01-08 03:30:11.764705881,3.15,8,0
B96cb7f9ddeac,2021-01-08,11,2,28,0.0648,2021-01-08 02:12:01.570152512,2021-01-08 02:13:10.197603492,1.14,2021-01-08 02:12:01.570152512,2021-01-08 02:13:10.197603492,0.17,4,0
Bf6a113b79177,2021-01-08,19,1,24,0.5333,2021-01-08 03:30:11.764705882,2021-01-08 03:54:02.405927888,23.84,2021-01-08 03:30:11.764705882,2021-01-08 03:54:02.405927888,10.59,9,1
Bdf20446d7fe9,2021-01-08,9,1,18,0.5,2021-01-08 03:54:02.405927888,2021-01-08 04:18:09.545148040,24.12,2021-01-08 03:54:02.405927888,2021-01-08 04:18:09.545148040,20.94,14,1
B64399fb2ef89,2021-01-08,14,1,18,0.6667,2021-01-08 04:18:09.545148041,2021-01-08 04:55:48.368677452,37.65,2021-01-08 04:18:09.545148041,2021-01-08 04:55:48.368677452,32.15,15,1
B70501f8487fd,2021-01-08,25,1,18,0.4,2021-01-08 04:55:48.368677452,2021-01-08 05:13:41.349593956,17.88,2021-01-08 04:55:48.368677452,2021-01-08 05:13:41.349593956,10.58,10,0
B4300fb8cf16e,2021-01-08,27,2,16,0.0741,2021-01-08 02:13:10.197603492,2021-01-08 02:15:05.230460750,1.92,2021-01-08 02:13:10.197603492,2021-01-08 02:15:05.230460750,0.29,2,0
B4f14ed7d3c30,2021-01-08,21,2,14,0.0648,2021-01-08 02:15:05.230460751,2021-01-08 02:16:45.884210852,1.68,2021-01-08 02:15:05.230460751,2021-01-08 02:16:45.884210852,0.25,2,0
B5aeebde27db9,2021-01-08,20,3,12,0.0,2021-01-08 02:00:00.000000000,2021-01-08 02:14:07.058823529,14.12,2021-01-08 02:00:00.000000000,2021-01-08 02:14:07.058823529,11.24,9,0
B95e5571ab18c,2021-01-08,7,1,12,0.4444,2021-01-08 05:13:41.349593957,2021-01-08 05:37:44.379957720,24.05,2021-01-08 05:13:41.349593957,2021-01-08 05:37:44.379957720,13.99,6,1
Ba2f6f6a82c6f,2021-01-08,16,1,10,0.3704,2021-01-08 05:37:44.379957721,2021-01-08 05:58:39.281918505,20.92,2021-01-08 05:37:44.379957721,2021-01-08 05:58:39.281918505,13.54,6,0
B07d73d2e59c4,2021-01-09,1,1,550,6.1111,2021-01-09 02:00:00.000000000,2021-01-09 05:35:41.176470588,215.69,2021-01-09 02:00:00.000000000,2021-01-09 05:35:41.176470588,203.86,555,20
B35bbd6a8687f,2021-01-09,2,2,162,0.5625,2021-01-09 02:00:00.000000000,2021-01-09 02:13:14.117647058,13.24,2021-01-09 02:00:00.000000000,2021-01-09 02:13:14.117647058,13.24,165,7
B810c83a30796,2021-01-09,3,2,134,0.6204,2021-01-09 02:13:14.117647058,2021-01-09 02:28:33.729747658,15.33,2021-01-09 02:13:14.117647058,2021-01-09 02:28:33.729747658,3.19,24,2
B34cef4184de2,2021-01-09,4,1,130,1.4444,2021-01-09 05:35:41.176470588,2021-01-09 06:26:39.999999999,50.98,2021-01-09 05:35:41.176470588,2021-01-09 06:26:39.999999999,37.53,92,4
B29b5f9d506c6,2021-01-09,5,1,122,1.3556,2021-01-09 06:26:39.999999999,2021-01-09 07:14:30.588235293,47.84,2021-01-09 06:26:39.999999999,2021-01-09 07:14:30.588235293,37.59,83,3
Bc08d3ac50185,2021-01-09,6,1,52,0.5778,2021-01-09 07:14:30.588235294,2021-01-09 07:36:15.686274509,21.75,2021-01-09 07:14:30.588235294,2021-01-09 07:36:15.686274509,13.56,29,2
Be2cb012bca1c,2021-01-09,15,1,42,0.359,2021-01-09 07:36:15.686274509,2021-01-09 07:48:05.200665403,11.83,2021-01-09 07:36:15.686274509,2021-01-09 07:48:05.200665403,3.71,13,1
Bfedbdeb7b1fa,2021-01-09,17,1,36,0.3333,2021-01-09 07:48:05.200665404,2021-01-09 07:59:04.020128028,10.98,2021-01-09 07:48:05.200665404,2021-01-09 07:59:04.020128028,6.83,24,0
B3dc0213628eb,2021-01-09,13,1,34,1.2593,2021-01-09 07:59:04.020128029,2021-01-09 09:07:12.606158693,68.14,2021-01-09 07:59:04.020128029,2021-01-09 09:07:12.606158693,53.49,26,2
B744373eea0e2,2021-01-09,7,1,32,1.1852,2021-01-09 09:07:12.606158693,2021-01-09 10:11:20.687128730,64.13,2021-01-09 09:07:12.606158693,2021-01-09 10:11:20.687128730,47.36,24,1
B0f94af5eae4c,2021-01-09,10,1,26,0.963,2021-01-09 10:11:20.687128730,2021-01-09 11:05:43.432226769,54.38,2021-01-09 10:11:20.687128730,2021-01-09 11:05:43.432226769,33.33,16,1
Bfce3bf9de9f1,2021-01-09,9,1,26,0.7222,2021-01-09 11:05:43.432226770,2021-01-09 11:40:33.744433657,34.84,2021-01-09 11:05:43.432226770,2021-01-09 11:40:33.744433657,19.11,13,1
Bdb6e60e81a02,2021-01-09,19,1,24,0.5333,2021-01-09 11:40:33.744433657,2021-01-09 12:04:24.385655663,23.84,2021-01-09 11:40:33.744433657,2021-01-09 12:04:24.385655663,12.1,12,1
B7caebdff0ded,2021-01-09,23,2,18,0.0833,2021-01-09 02:28:33.729747659,2021-01-09 02:31:06.671396171,2.55,2021-01-09 02:28:33.729747659,2021-01-09 02:31:06.671396171,0.38,2,0
B4f448788cdfe,2021-01-09,22,1,16,0.3556,2021-01-09 12:04:24.385655663,2021-01-09 12:20:18.146470333,15.9,2021-01-09 12:04:24.385655663,2021-01-09 12:20:18.146470333,12.9,13,1
B40974102a94e,2021-01-09,24,2,16,0.0741,2021-01-09 02:31:06.671396172,2021-01-09 02:33:01.704253430,1.92,2021-01-09 02:31:06.671396172,2021-01-09 02:33:01.704253430,0.29,2,0
Bbce01de9ff1e,2021-01-09,14,1,14,0.5185,2021-01-09 12:20:18.146470334,2021-01-09 12:49:35.009215432,29.28,2021-01-09 12:20:18.146470334,2021-01-09 12:49:35.009215432,21.56,9,1
Bc8cc4b8d043e,2021-01-09,21,2,14,0.0648,2021-01-09 02:33:01.704253430,2021-01-09 02:34:42.358003531,1.68,2021-01-09 02:33:01.704253430,2021-01-09 02:34:42.358003531,0.25,2,0
B933f8112e574,2021-01-09,26,2,12,0.0833,2021-01-09 02:34:42.358003531,2021-01-09 02:37:03.534474119,2.35,2021-01-09 02:34:42.358003531,2021-01-09 02:37:03.534474119,0.35,1,0
Bc9f9bd73d765,2021-01-09,16,1,10,0.3704,2021-01-09 12:49:35.009215432,2021-01-09 13:10:29.911176216,20.92,2021-01-09 12:49:35.009215432,2021-01-09 13:10:29.911176216,10.74,5,0
Bfbd706fb62fb,2021-01-11,1,1,176,1.9556,2021-01-11 02:00:00.000000000,2021-01-11 03:09:01.176470588,69.02,2021-01-11 02:00:00.000000000,2021-01-11 03:09:01.176470588,63.76,171,6
B2d82a7c58d7b,2021-01-11,5,1,62,0.6889,2021-01-11 03:09:01.176470588,2021-01-11 03:33:19.999999999,24.31,2021-01-11 03:09:01.176470588,2021-01-11 03:33:19.999999999,14.2,37,1
B8efacaa428fe,2021-01-11,4,1,42,0.4667,2021-01-11 03:33:20.000000000,2021-01-11 03:49:48.235294117,16.47,2021-01-11 03:33:20.000000000,2021-01-11 03:49:48.235294117,7.13,16,1
Bc951b0c96318,2021-01-11,3,2,34,0.1574,2021-01-11 02:00:00.000000000,2021-01-11 02:03:53.334413585,3.89,2021-01-11 02:00:00.000000000,2021-01-11 02:03:53.334413585,3.89,31,0
B586bea84ba4b,2021-01-11,2,2,28,0.0972,2021-01-11 02:03:53.334413585,2021-01-11 02:06:10.589315545,2.29,2021-01-11 02:03:53.334413585,2021-01-11 02:06:10.589315545,0.34,4,0
B6fa929290433,2021-01-11,11,2,26,0.0602,2021-01-11 02:06:10.589315546,2021-01-11 02:07:14.314805742,1.06,2021-01-11 02:06:10.589315546,2021-01-11 02:07:14.314805742,0.16,4,0
B3cb38a80e70d,2021-01-11,18,1,22,0.4074,2021-01-11 03:49:48.235294117,2021-01-11 04:06:06.055323377,16.3,2021-01-11 03:49:48.235294117,2021-01-11 04:06:06.055323377,10.63,13,1
B80fe61933884,2021-01-11,25,1,18,0.4,2021-01-11 04:06:06.055323378,2021-01-11 04:23:59.036239882,17.88,2021-01-11 04:06:06.055323378,2021-01-11 04:23:59.036239882,6.97,7,0
B5ab5ab4d53f0,2021-01-11,9,1,14,0.3889,2021-01-11 04:23:59.036239882,2021-01-11 04:42:44.588966667,18.76,2021-01-11 04:23:59.036239882,2021-01-11 04:42:44.588966667,13.47,10,0
Ba6007aee9dd5,2021-01-11,10,1,10,0.3704,2021-01-11 04:42:44.588966668,2021-01-11 05:03:39.490927452,20.92,2021-01-11 04:42:44.588966668,2021-01-11 05:03:39.490927452,15.77,6,0
Bdacc56786bcb,2021-01-11,20,3,6,0.0,2021-01-11 02:00:00.000000000,2021-01-11 02:07:03.529411764,7.06,2021-01-11 02:00:00.000000000,2021-01-11 02:07:03.529411764,7.06,6,0
B01fdd5613387,2021-01-12,1,1,142,1.5778,2021-01-12 02:00:00.000000000,2021-01-12 02:55:41.176470588,55.69,2021-01-12 02:00:00.000000000,2021-01-12 02:55:41.176470588,55.69,141,9
B80eec60cc372,2021-01-12,5,1,58,0.6444,2021-01-12 02:55:41.176470588,2021-01-12 03:18:25.882352940,22.75,2021-01-12 02:55:41.176470588,2021-01-12 03:18:25.882352940,12.51,30,2
B38093dfa4e50,2021-01-12,2,2,48,0.1667,2021-01-12 02:00:00.000000000,2021-01-12 02:03:55.294117647,3.92,2021-01-12 02:00:00.000000000,2021-01-12 02:03:55.294117647,3.92,48,2
B7836bee739dc,2021-01-12,4,1,36,0.4,2021-01-12 03:18:25.882352941,2021-01-12 03:32:32.941176470,14.12,2021-01-12 03:18:25.882352941,2021-01-12 03:32:32.941176470,3.59,8,1
Bad0782b5eb87,2021-01-12,3,2,24,0.1111,2021-01-12 02:03:55.294117647,2021-01-12 02:06:40.000762530,2.75,2021-01-12 02:03:55.294117647,2021-01-12 02:06:40.000762530,0.41,3,0
B4c27c370dd75,2021-01-12,27,2,16,0.0741,2021-01-12 02:06:40.000762530,2021-01-12 02:08:35.033619788,1.92,2021-01-12 02:06:40.000762530,2021-01-12 02:08:35.033619788,0.29,2,0
Bc0bb9795abc1,2021-01-12,22,1,16,0.3556,2021-01-12 03:32:32.941176470,2021-01-12 03:48:26.701991140,15.9,2021-01-12 03:32:32.941176470,2021-01-12 03:48:26.701991140,5.25,5,0
B931d4989f89e,2021-01-12,26,2,12,0.0833,2021-01-12 02:08:35.033619789,2021-01-12 02:10:56.210090377,2.35,2021-01-12 02:08:35.033619789,2021-01-12 02:10:56.210090377,0.35,1,0
Bed050ecc499f,2021-01-12,20,3,10,0.0,2021-01-12 02:00:00.000000000,2021-01-12 02:11:45.882352941,11.76,2021-01-12 02:00:00.000000000,2021-01-12 02:11:45.882352941,9.17,8,0
B1ec788d37019,2021-01-12,7,1,10,0.3704,2021-01-12 03:48:26.701991141,2021-01-12 04:08:29.227294277,20.04,2021-01-12 03:48:26.701991141,2021-01-12 04:08:29.227294277,10.22,5,0
Be3dbd2b34701,2021-01-14,1,1,154,1.7111,2021-01-14 02:00:00.000000000,2021-01-14 03:00:23.529411764,60.39,2021-01-14 02:00:00.000000000,2021-01-14 03:00:23.529411764,57.89,146,2
Bf873d3d13c6d,2021-01-14,2,2,48,0.1667,2021-01-14 02:00:00.000000000,2021-01-14 02:03:55.294117647,3.92,2021-01-14 02:00:00.000000000,2021-01-14 02:03:55.294117647,3.92,45,3
B76e996d436b0,2021-01-14,5,1,48,0.5333,2021-01-14 03:00:23.529411764,2021-01-14 03:19:12.941176469,18.82,2021-01-14 03:00:23.529411764,2021-01-14 03:19:12.941176469,8.56,18,1
B512aac0f17bc,2021-01-14,4,1,42,0.4667,2021-01-14 03:19:12.941176470,2021-01-14 03:35:41.176470587,16.47,2021-01-14 03:19:12.941176470,2021-01-14 03:35:41.176470587,3.29,8,0
Beaf39e823ce5,2021-01-14,3,2,36,0.1667,2021-01-14 02:03:55.294117647,2021-01-14 02:08:02.354084972,4.12,2021-01-14 02:03:55.294117647,2021-01-14 02:08:02.354084972,0.62,5,0
B2dcf91026b90,2021-01-14,23,2,16,0.0741,2021-01-14 02:08:02.354084972,2021-01-14 02:10:18.302216983,2.27,2021-01-14 02:08:02.354084972,2021-01-14 02:10:18.302216983,0.34,2,0
B7a593fe6d111,2021-01-14,7,1,16,0.5926,2021-01-14 03:35:41.176470588,2021-01-14 04:07:45.216955606,32.07,2021-01-14 03:35:41.176470588,2021-01-14 04:07:45.216955606,21.95,10,1
B9f4200f77a4a,2021-01-14,20,3,16,0.0,2021-01-14 02:00:00.000000000,2021-01-14 02:18:49.411764705,18.82,2021-01-14 02:00:00.000000000,2021-01-14 02:18:49.411764705,18.82,16,0
B3f4db1e0bdef,2021-01-14,19,1,16,0.3556,2021-01-14 04:07:45.216955606,2021-01-14 04:23:38.977770276,15.9,2021-01-14 04:07:45.216955606,2021-01-14 04:23:38.977770276,2.38,2,0
B6e52b1d10626,2021-01-14,24,2,16,0.0741,2021-01-14 02:10:18.302216983,2021-01-14 02:12:13.335074241,1.92,2021-01-14 02:10:18.302216983,2021-01-14 02:12:13.335074241,0.29,2,0
B15aafe3bca3f,2021-01-14,9,1,14,0.3889,2021-01-14 04:23:38.977770277,2021-01-14 04:42:24.530497062,18.76,2021-01-14 04:23:38.977770277,2021-01-14 04:42:24.530497062,9.32,6,0
B32b8b4c3e4f2,2021-01-14,14,1,14,0.5185,2021-01-14 04:42:24.530497062,2021-01-14 05:11:41.393242160,29.28,2021-01-14 04:42:24.530497062,2021-01-14 05:11:41.393242160,12.15,6,0
B82bda74689cd,2021-01-14,10,1,14,0.5185,2021-01-14 05:11:41.393242160,2021-01-14 05:40:58.255987258,29.28,2021-01-14 05:11:41.393242160,2021-01-14 05:40:58.255987258,23.46,11,1
Bf88843c56d53,2021-01-14,16,1,12,0.4444,2021-01-14 05:40:58.255987259,2021-01-14 06:06:04.138340200,25.1,2021-01-14 05:40:58.255987259,2021-01-14 06:06:04.138340200,10.14,5,0
B1a6a8b371faa,2021-01-15,1,1,170,1.8889,2021-01-15 02:00:00.000000000,2021-01-15 03:06:40.000000000,66.67,2021-01-15 02:00:00.000000000,2021-01-15 03:06:40.000000000,65.91,166,5
B4cdc324c534a,2021-01-15,2,2,74,0.2569,2021-01-15 02:00:00.000000000,2021-01-15 02:06:02.745098039,6.05,2021-01-15 02:00:00.000000000,2021-01-15 02:06:02.745098039,6.05,72,4
B9536fa01a6b5,2021-01-15,3,2,52,0.2407,2021-01-15 02:06:02.745098039,2021-01-15 02:11:59.609495287,5.95,2021-01-15 02:06:02.745098039,2021-01-15 02:11:59.609495287,0.89,7,0
